bankssts L,lBSTS
bankssts R,rBSTS
caudalanteriorcingulate L,lcACC
caudalanteriorcingulate R,rcACC
caudalmiddlefrontal L,lcMFG
caudalmiddlefrontal R,rcMFG
cuneus L,lCUN
cuneus R,rCUN
entorhinal L,lENT
entorhinal R,rENT
frontalpole L,lFP
frontalpole R,rFP
fusiform L,lFUS
fusiform R,rFUS
inferiorparietal L,lIPL
inferiorparietal R,rIPL
inferiortemporal L,lITG
inferiortemporal R,rITG
insula L,lINS
insula R,rINS
isthmuscingulate L,liCC
isthmuscingulate R,riCC
lateraloccipital L,lLOG
lateraloccipital R,rLOG
lateralorbitofrontal L,lLOF
lateralorbitofrontal R,rLOF
lingual L,lLING
lingual R,rLING
medialorbitofrontal L,lMOF
medialorbitofrontal R,rMOF
middletemporal L,lMTG
middletemporal R,rMTG
paracentral L,lparaC
paracentral R,rparaC
parahippocampal L,lPARH
parahippocampal R,rPARH
parsopercularis L,lpOPER
parsopercularis R,rpOPER
parsorbitalis L,lpORB
parsorbitalis R,rpORB
parstriangularis L,lpTRI
parstriangularis R,rpTRI
pericalcarine L,lperiCAL
pericalcarine R,rperiCAL
postcentral L,lpostC
postcentral R,rpostC
posteriorcingulate L,lPCC
posteriorcingulate R,rPCC
precentral L,lpreC
precentral R,rpreC
precuneus L,lPCUN
precuneus R,rPCUN
rostralanteriorcingulate L,lrACC
rostralanteriorcingulate R,rrACC
rostralmiddlefrontal L,lrMFG
rostralmiddlefrontal R,rrMFG
superiorfrontal L,lSFG
superiorfrontal R,rSFG
superiorparietal L,lSPL
superiorparietal R,rSPL
superiortemporal L,lSTG
superiortemporal R,rSTG
supramarginal L,lSMAR
supramarginal R,rSMAR
temporalpole L,lTP
temporalpole R,rTP
transversetemporal L,lTT
transversetemporal R,rTT